Frame,Time,Pendulum_X,Pendulum_Y,Pendulum_Z,Top_X,Top_Y,Top_Z
332,2.766667,-0.010686,0.376956,0.029869,-0.001075,1.021317,0.024711
333,2.775,-0.010752,0.376972,0.029877,-0.001059,1.021316,0.024705
334,2.783333,-0.010439,0.375949,0.029334,-0.001054,1.021326,0.024703
335,2.791667,-0.010471,0.375954,0.029339,-0.001052,1.021323,0.024705
336,2.8,-0.010673,0.377045,0.029754,-0.001059,1.021325,0.024705
337,2.808333,-0.010897,0.376905,0.02996,-0.001062,1.021323,0.024708
338,2.816667,-0.010953,0.376886,0.029993,-0.001061,1.021326,0.024708
339,2.825,-0.011022,0.376936,0.029987,-0.001063,1.021323,0.024705
340,2.833333,-0.011071,0.376951,0.029982,-0.001065,1.021316,0.024704
341,2.841667,-0.011112,0.376965,0.030009,-0.00106,1.021325,0.024708
342,2.85,-0.011154,0.376969,0.030001,-0.001065,1.021329,0.024708
343,2.858333,-0.011234,0.377013,0.029984,-0.001069,1.021324,0.024702
344,2.866667,-0.011302,0.377014,0.030012,-0.001072,1.021328,0.024713
345,2.875,-0.011391,0.377059,0.030016,-0.001067,1.021323,0.024707
346,2.883333,-0.011451,0.377033,0.030027,-0.00106,1.021317,0.024704
347,2.891667,-0.011532,0.376979,0.030024,-0.001054,1.021321,0.024698
348,2.9,-0.011605,0.376955,0.030026,-0.001056,1.021319,0.024702
349,2.908333,-0.0116,0.377008,0.030057,-0.00105,1.021319,0.024698
350,2.916667,-0.011464,0.37718,0.030096,-0.001053,1.021321,0.024701
351,2.925,-0.011941,0.376727,0.029943,-0.001052,1.021322,0.024702
352,2.933333,-0.011975,0.376709,0.029929,-0.001049,1.02132,0.024702
353,2.941667,-0.011996,0.376708,0.029934,-0.001051,1.021319,0.024703
